folder,env_idx,pheno_idx,seed,environment,rootLength_cm,shootDW_g,waterUptake_cm3
MaizeSCD4_5_1,4,5,1,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_5_2,4,5,2,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_5_3,4,5,3,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_5_4,4,5,4,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_6_0,4,6,0,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_6_1,4,6,1,Jalisco_rainfed,2413.50482755,1.78965478,446.72053204
MaizeSCD4_6_2,4,6,2,Jalisco_rainfed,2300.32947294,1.78850910,449.66209919
MaizeSCD4_6_3,4,6,3,Jalisco_rainfed,2025.84400858,1.37121203,421.60786287
MaizeSCD4_6_4,4,6,4,Jalisco_rainfed,2139.14383551,1.76422850,465.14893749
MaizeSCD4_7_0,4,7,0,Jalisco_rainfed,1932.16599163,1.70647296,451.17724865
MaizeSCD4_7_1,4,7,1,Jalisco_rainfed,1766.24928107,1.30597234,364.40586329
MaizeSCD4_7_2,4,7,2,Jalisco_rainfed,1872.19431430,1.59926564,411.24165984
MaizeSCD4_7_3,4,7,3,Jalisco_rainfed,1955.32185210,1.61182668,423.21772454
MaizeSCD4_7_4,4,7,4,Jalisco_rainfed,34.13175368,0.01677283,4.03727691
MaizeSCD4_8_0,4,8,0,Jalisco_rainfed,32.47610547,0.01581370,3.22121377
MaizeSCD4_8_1,4,8,1,Jalisco_rainfed,30.87002844,0.01581370,3.22450913
MaizeSCD4_8_2,4,8,2,Jalisco_rainfed,30.81420887,0.01581370,3.22478833
MaizeSCD4_8_3,4,8,3,Jalisco_rainfed,32.07820149,0.01581370,3.22595459
MaizeSCD4_8_4,4,8,4,Jalisco_rainfed,32.94189662,0.01581370,3.22563707
MaizeSCD4_9_0,4,9,0,Jalisco_rainfed,44.38810084,0.01581370,3.21711789
MaizeSCD4_9_1,4,9,1,Jalisco_rainfed,43.05241599,0.01581370,3.21612798
MaizeSCD4_9_2,4,9,2,Jalisco_rainfed,250.31906100,0.08111749,72.57802060
MaizeSCD4_9_3,4,9,3,Jalisco_rainfed,247.35961393,0.08284569,73.61494645
MaizeSCD4_9_4,4,9,4,Jalisco_rainfed,264.12884995,0.08151899,73.08485209
MaizeSCD5_0_0,5,0,0,Jalisco_drought,454.60016562,0.09999913,81.56197465
MaizeSCD5_0_1,5,0,1,Jalisco_drought,439.63326476,0.09974217,81.13305693
MaizeSCD5_0_2,5,0,2,Jalisco_drought,424.43717558,0.09975488,81.17070521
MaizeSCD5_0_3,5,0,3,Jalisco_drought,423.21056822,0.09964015,81.00973965
MaizeSCD5_0_4,5,0,4,Jalisco_drought,462.77935014,0.10008993,81.75541293
MaizeSCD5_1_0,5,1,0,Jalisco_drought,4667.24244440,4.15032153,926.24796944
MaizeSCD5_1_1,5,1,1,Jalisco_drought,5509.67484870,4.56028192,959.82538065
MaizeSCD5_1_2,5,1,2,Jalisco_drought,3831.63106537,3.83966800,902.93593453
MaizeSCD5_1_3,5,1,3,Jalisco_drought,6338.26028413,3.83191444,884.38693306
MaizeSCD5_1_4,5,1,4,Jalisco_drought,4246.79961647,4.47680237,1009.66554612
MaizeSCD5_10_0,5,10,0,Jalisco_drought,8.14369703,0.00020856,0.00003113
MaizeSCD5_10_1,5,10,1,Jalisco_drought,8.08816910,0.00020856,0.00000634
MaizeSCD5_10_2,5,10,2,Jalisco_drought,8.09836452,0.00020856,0.00013237
MaizeSCD5_10_3,5,10,3,Jalisco_drought,8.07875809,0.00020856,0.00013909
MaizeSCD5_10_4,5,10,4,Jalisco_drought,8.16146597,0.00020856,0.00001754
MaizeSCD5_11_0,5,11,0,Jalisco_drought,8.14377016,0.00020856,0.00003124
MaizeSCD5_11_1,5,11,1,Jalisco_drought,8.08829245,0.00020856,0.00000645
MaizeSCD5_11_2,5,11,2,Jalisco_drought,8.09842595,0.00020856,0.00013248
MaizeSCD5_11_3,5,11,3,Jalisco_drought,5.09773051,0.00000000,0.00010731
MaizeSCD5_11_4,5,11,4,Jalisco_drought,5.90810543,0.00000000,0.00021506
MaizeSCD5_12_0,5,12,0,Jalisco_drought,5.49798385,0.00000000,0.00021575
MaizeSCD5_12_1,5,12,1,Jalisco_drought,5.48469431,0.00000000,0.00021534
MaizeSCD5_12_2,5,12,2,Jalisco_drought,5.48915912,0.00000000,0.00021266
MaizeSCD5_12_3,5,12,3,Jalisco_drought,5.48362295,0.00000000,0.00021344
MaizeSCD5_12_4,5,12,4,Jalisco_drought,5.11343704,0.00000000,0.00010811
MaizeSCD5_13_0,5,13,0,Jalisco_drought,5.01977789,0.00000000,0.00010718
MaizeSCD5_13_1,5,13,1,Jalisco_drought,0.59092269,0.00000000,-0.00000042
MaizeSCD5_13_2,5,13,2,Jalisco_drought,0.59092214,0.00000000,-0.00000042
MaizeSCD5_13_3,5,13,3,Jalisco_drought,11883.74576954,13.62042475,3591.18415991
MaizeSCD5_13_4,5,13,4,Jalisco_drought,11408.66375344,12.65796036,3087.54589033
MaizeSCD5_14_0,5,14,0,Jalisco_drought,0.59092269,0.00000000,-0.00000042
MaizeSCD5_14_1,5,14,1,Jalisco_drought,0.59092269,0.00000000,-0.00000042
MaizeSCD5_14_2,5,14,2,Jalisco_drought,0.59092214,0.00000000,-0.00000042
MaizeSCD5_14_3,5,14,3,Jalisco_drought,4406.29385705,3.61892008,1066.68239690
MaizeSCD5_14_4,5,14,4,Jalisco_drought,13802.88681021,12.38575454,3237.02242735
MaizeSCD5_15_0,5,15,0,Jalisco_drought,12209.82301464,13.02747155,3303.40390950
MaizeSCD5_15_1,5,15,1,Jalisco_drought,14637.13176264,14.07591155,3319.59873499
MaizeSCD5_15_2,5,15,2,Jalisco_drought,12475.03904675,13.22147496,3622.79650666
MaizeSCD5_15_3,5,15,3,Jalisco_drought,13066.73772775,13.02013708,3061.87203835
MaizeSCD5_15_4,5,15,4,Jalisco_drought,4633.06674083,4.34280011,980.67534581
MaizeSCD5_2_0,5,2,0,Jalisco_drought,4658.53929587,3.78602943,1113.87170138
MaizeSCD5_2_1,5,2,1,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_2_2,5,2,2,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_2_3,5,2,3,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_2_4,5,2,4,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_3_0,5,3,0,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_3_1,5,3,1,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_3_2,5,3,2,Jalisco_drought,0.00000000,0.00000000,0.00000000
MaizeSCD5_3_3,5,3,3,Jalisco_drought,0.00000000,0.00000000,0.00000000
