name                    	time	value	rate	unit	path
"carbonAllocation2Stems"            	0.000	0.00000000	0.00000000	"g"	"//plants/maize_1_1/plantPosition/shoot"
"carbonLimitedPhotosynthesisRate"   	0.000	0.00000000	NA	"umol/m2/s"	"//plants/maize_1_1/plantPosition/shoot"
"cropHeight"                        	0.000	0.00000000	0.00000000	"cm"	"//plants/maize_1_1/plantPosition/shoot"
"extinctionCoefficient"             	0.000	0.45000000	NA	"noUnit"	"//plants/maize_1_1/plantPosition/shoot"
"leafArea"                          	0.000	0.00000000	0.00000000	"cm2"	"//plants/maize_1_1/plantPosition/shoot"
"leafAreaIndex"                     	0.000	0.00000000	NA	"cm2/cm2"	"//plants/maize_1_1/plantPosition/shoot"
"leafAreaReductionCoefficient"      	0.000	1.00000000	NA	"cm2/cm2"	"//plants/maize_1_1/plantPosition/shoot"
"leafDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//plants/maize_1_1/plantPosition/shoot"
"leafIrradiation"                   	0.000	0.00000000	NA	"W/m2"	"//plants/maize_1_1/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//plants/maize_1_1/plantPosition/shoot"
"leafRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//plants/maize_1_1/plantPosition/shoot"
"leafRespirationRate"               	0.000	0.00000000	NA	"g/day"	"//plants/maize_1_1/plantPosition/shoot"
"leafTemperature"                   	0.000	0.00000000	NA	"degreesC"	"//plants/maize_1_1/plantPosition/shoot"
"lightInterception"                 	0.000	0.00000000	NA	"W/m2"	"//plants/maize_1_1/plantPosition/shoot"
"lightLimitedPhotosynthesisRate"    	0.000	0.00000000	NA	"umol/m2/s"	"//plants/maize_1_1/plantPosition/shoot"
"mesophyllCO2Concentration"         	0.000	0.00000000	NA	"umol/mol"	"//plants/maize_1_1/plantPosition/shoot"
"mesophyllO2Concentration"          	0.000	0.00000000	NA	"mmol/mol"	"//plants/maize_1_1/plantPosition/shoot"
"photosynthesis"                    	0.000	0.00000000	0.00000000	"g"	"//plants/maize_1_1/plantPosition/shoot"
"photosynthesisLintul"              	0.000	0.00000000	0.00000000	"g"	"//plants/maize_1_1/plantPosition/shoot"
"photosynthesisRate"                	0.000	0.00000000	NA	"umol/m2/s"	"//plants/maize_1_1/plantPosition/shoot"
"potentialCropHeight"               	0.000	0.00000000	0.00000000	"cm"	"//plants/maize_1_1/plantPosition/shoot"
"potentialLeafArea"                 	0.000	0.00000000	0.00000000	"cm2"	"//plants/maize_1_1/plantPosition/shoot"
"potentialTranspiration"            	0.000	0.00000000	0.00000000	"cm3"	"//plants/maize_1_1/plantPosition/shoot"
"potentialTranspirationRate"        	0.000	0.00000000	NA	"cm3/day"	"//plants/maize_1_1/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	0.000	1.00000000	NA	"100%"	"//plants/maize_1_1/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	0.000	0.00000000	NA	"100%"	"//plants/maize_1_1/plantPosition/shoot"
"shadedBundleSheathCO2Concentration"	0.000	402.90000000	NA	"umol/mol"	"//plants/maize_1_1/plantPosition/shoot"
"shadedBundleSheathO2Concentration" 	0.000	209.46000000	NA	"mmol/mol"	"//plants/maize_1_1/plantPosition/shoot"
